sepal_length,sepal_width,petal_length,petal_width,petal_area,species
5.1,3.5,1.4,0.19999999999999996,0.28000000000000114,0
4.9,3.0,1.4,0.19999999999999996,0.28000000000000114,0
4.7,3.2,1.2999999999999998,0.19999999999999996,0.2599999999999998,0
4.6,3.1,1.5,0.19999999999999996,0.2999999999999998,0
5.0,3.6,1.4,0.19999999999999996,0.28000000000000114,0
5.4,3.9,1.7000000000000002,0.4,0.6799999999999997,0
4.6,3.4,1.4,0.29999999999999993,0.41999999999999993,0
5.0,3.4,1.5,0.19999999999999996,0.2999999999999998,0
4.4,2.9,1.4,0.19999999999999996,0.28000000000000114,0
4.9,3.1,1.5,0.10000000000000009,0.15000000000000036,0
5.4,3.7,1.5,0.19999999999999996,0.2999999999999998,0
4.8,3.4,1.6,0.19999999999999996,0.3200000000000003,0
4.8,3.0,1.4,0.10000000000000009,0.13999999999999968,0
4.3,3.0,1.1,0.10000000000000009,0.11000000000000032,0
5.8,4.0,1.2000000000000002,0.19999999999999996,0.2400000000000002,0
5.7,4.4,1.5,0.4,0.6000000000000005,0
5.4,3.9,1.2999999999999998,0.4,0.5199999999999996,0
5.1,3.5,1.4,0.29999999999999993,0.41999999999999993,0
5.7,3.8,1.7000000000000002,0.29999999999999993,0.5099999999999998,0
5.1,3.8,1.5,0.29999999999999993,0.4500000000000002,0
5.4,3.4,1.7000000000000002,0.19999999999999996,0.33999999999999897,0
5.1,3.7,1.5,0.4,0.6000000000000005,0
4.6,3.6,1.0,0.19999999999999996,0.20000000000000018,0
5.1,3.3,1.7000000000000002,0.5,0.8499999999999996,0
4.8,3.4,1.9,0.19999999999999996,0.3799999999999999,0
5.0,3.0,1.6,0.19999999999999996,0.3200000000000003,0
5.0,3.4,1.6,0.4,0.6400000000000006,0
5.2,3.5,1.5,0.19999999999999996,0.2999999999999998,0
5.2,3.4,1.4,0.19999999999999996,0.28000000000000114,0
4.7,3.2,1.6,0.19999999999999996,0.3200000000000003,0
